,Date, Close/Last, Open, High, Low
0,04/03/2020,1906.59,1911.15,1926.33,1889.15
1,04/02/2020,1918.83,1901.64,1927.5258,1890.0
2,04/01/2020,1907.7,1932.97,1944.96,1893.0
3,03/31/2020,1949.72,1964.35,1993.02,1944.01
4,03/30/2020,1963.95,1922.83,1973.63,1912.34
5,03/27/2020,1900.1,1930.86,1939.79,1899.92
6,03/26/2020,1955.49,1902.0,1956.49,1889.29
7,03/25/2020,1885.84,1920.69,1950.26,1885.78
8,03/24/2020,1940.1,1951.495,1955.0,1900.3403
9,03/23/2020,1902.83,1827.75,1919.4,1812.0
10,03/20/2020,1846.09,1926.31,1957.0,1820.73
11,03/19/2020,1880.93,1860.0,1945.0,1832.65
12,03/18/2020,1830.0,1750.0,1841.66,1745.0
13,03/17/2020,1807.84,1775.47,1857.775,1689.2402
14,03/16/2020,1689.15,1641.51,1759.4519,1626.0318
15,03/13/2020,1785.0,1755.0,1786.31,1680.62
16,03/12/2020,1676.61,1721.98,1765.0,1675.0
17,03/11/2020,1820.86,1857.85,1871.3194,1801.5
18,03/10/2020,1891.82,1870.88,1894.27,1818.17
19,03/09/2020,1800.61,1773.86,1862.77,1761.2901
20,03/06/2020,1901.09,1875.0,1910.87,1869.5
21,03/05/2020,1924.03,1933.0,1960.72,1910.0
22,03/04/2020,1975.83,1946.57,1978.0,1922.0
23,03/03/2020,1908.99,1975.37,1996.33,1888.0901
24,03/02/2020,1953.95,1906.49,1954.51,1870.0
25,02/28/2020,1883.75,1814.63,1889.76,1811.129
26,02/27/2020,1884.3,1934.38,1975.0,1882.7621
27,02/26/2020,1979.59,1970.28,2014.67,1960.45
28,02/25/2020,1972.74,2026.42,2034.6,1958.42
29,02/24/2020,2009.29,2003.18,2039.295,1987.9742
30,02/21/2020,2095.97,2142.15,2144.55,2088.0
31,02/20/2020,2153.1,2173.07,2176.79,2127.45
32,02/19/2020,2170.22,2167.8,2185.1,2161.12
33,02/18/2020,2155.67,2125.02,2166.07,2124.105
34,02/14/2020,2134.87,2155.68,2159.0352,2125.89
35,02/13/2020,2149.87,2144.99,2170.28,2142.0
36,02/12/2020,2160.0,2163.2,2180.2494,2155.29
37,02/11/2020,2150.8,2150.9,2185.95,2136.0
38,02/10/2020,2133.91,2085.01,2135.6,2084.96
39,02/07/2020,2079.28,2041.99,2098.53,2038.1
40,02/06/2020,2050.23,2041.02,2056.3,2024.8001
41,02/05/2020,2039.87,2071.02,2071.02,2032.0
42,02/04/2020,2049.67,2029.88,2059.8,2015.37
43,02/03/2020,2004.2,2010.6,2048.5,2000.25
44,01/31/2020,2008.72,2051.47,2055.72,2002.27
45,01/30/2020,1870.68,1858.0,1872.87,1850.61
46,01/29/2020,1858.0,1864.0,1874.75,1855.02
47,01/28/2020,1853.25,1840.5,1858.11,1830.02
48,01/27/2020,1828.34,1820.0,1841.0,1815.34
49,01/24/2020,1861.64,1891.37,1894.99,1847.44
50,01/23/2020,1884.58,1885.11,1889.975,1872.76
51,01/22/2020,1887.46,1896.09,1902.5,1883.34
52,01/21/2020,1892.0,1865.0,1894.27,1860.0
53,01/17/2020,1864.72,1885.89,1886.64,1857.25
54,01/16/2020,1877.94,1882.99,1885.59,1866.02
55,01/15/2020,1862.02,1872.25,1878.86,1855.09
56,01/14/2020,1869.44,1885.88,1887.11,1858.55
57,01/13/2020,1891.3,1891.31,1898.0,1880.8
58,01/10/2020,1883.16,1905.37,1906.94,1880.0
59,01/09/2020,1901.05,1909.89,1917.82,1895.8038
60,01/08/2020,1891.97,1898.04,1910.9999,1886.4448
61,01/07/2020,1906.86,1904.5,1913.89,1892.0433
62,01/06/2020,1902.88,1860.0,1903.69,1860.0
63,01/03/2020,1874.97,1864.5,1886.1965,1864.5
64,01/02/2020,1898.01,1875.0,1898.01,1864.15
65,12/31/2019,1847.84,1842.0,1853.26,1832.23
66,12/30/2019,1846.89,1874.0,1884.0,1840.62
67,12/27/2019,1869.8,1882.92,1901.4,1866.01
68,12/26/2019,1868.77,1801.01,1870.46,1799.5
69,12/24/2019,1789.21,1793.81,1795.57,1787.575
70,12/23/2019,1793.0,1788.26,1793.0,1784.51
71,12/20/2019,1786.5,1799.615,1802.97,1782.45
72,12/19/2019,1792.28,1780.5,1792.99,1774.06
73,12/18/2019,1784.03,1795.02,1798.2,1782.36
74,12/17/2019,1790.66,1778.01,1792.0,1777.39
75,12/16/2019,1769.21,1767.0,1769.5,1757.05
76,12/13/2019,1760.94,1765.0,1768.99,1755.0
77,12/12/2019,1760.33,1750.0,1764.0,1745.44
78,12/11/2019,1748.72,1741.67,1750.0,1735.7102
79,12/10/2019,1739.21,1747.4,1750.67,1735.0
80,12/09/2019,1749.51,1750.66,1766.8919,1745.61
81,12/06/2019,1751.6,1751.2,1754.4,1740.13
82,12/05/2019,1740.48,1763.5,1763.5,1740.0
83,12/04/2019,1760.69,1774.01,1789.0894,1760.2201
84,12/03/2019,1769.96,1760.0,1772.87,1747.23
85,12/02/2019,1781.6,1804.4,1805.55,1762.68
86,11/29/2019,1800.8,1817.78,1824.69,1800.79
87,11/27/2019,1818.51,1801.0,1824.5,1797.31
88,11/26/2019,1796.94,1779.92,1797.03,1778.35
89,11/25/2019,1773.84,1753.25,1777.42,1753.24
90,11/22/2019,1745.72,1739.02,1746.43,1731.0
91,11/21/2019,1734.71,1743.0,1746.87,1730.36
92,11/20/2019,1745.53,1749.14,1762.524,1734.12
93,11/19/2019,1752.79,1756.99,1760.68,1743.03
94,11/18/2019,1752.53,1738.3,1753.7,1722.71
95,11/15/2019,1739.49,1760.05,1761.68,1732.86
96,11/14/2019,1754.6,1751.43,1766.5931,1749.56
97,11/13/2019,1753.11,1773.39,1775.0,1747.3216
98,11/12/2019,1778.0,1774.66,1786.22,1771.91
99,11/11/2019,1771.65,1778.0,1780.0,1767.13
100,11/08/2019,1785.88,1787.89,1789.88,1774.04
101,11/07/2019,1788.2,1803.76,1805.9,1783.48
102,11/06/2019,1795.77,1801.0,1802.5,1788.58
103,11/05/2019,1801.71,1809.16,1810.25,1794.0
104,11/04/2019,1804.66,1801.01,1815.06,1801.01
105,11/01/2019,1791.44,1788.01,1797.445,1785.21
106,10/31/2019,1776.66,1775.99,1792.0,1771.4753
107,10/30/2019,1779.99,1760.24,1782.38,1759.115
108,10/29/2019,1762.71,1774.81,1777.0,1755.81
109,10/28/2019,1777.08,1748.06,1778.7,1742.5
110,10/25/2019,1761.33,1697.55,1764.21,1695.0
111,10/24/2019,1780.78,1771.09,1788.3379,1760.27
112,10/23/2019,1762.17,1761.3,1770.05,1742.0
